hotel,country,deposit_type,total
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,372,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,156,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,4.0
Resort Hotel,643,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,826,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,1.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,826,No Deposit,2.0
Resort Hotel,826,No Deposit,2.0
Resort Hotel,826,No Deposit,3.0
Resort Hotel,840,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,643,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,578,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,840,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,826,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,826,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,826,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,826,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,1.0
Resort Hotel,620,No Deposit,1.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,826,No Deposit,2.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,4.0
Resort Hotel,076,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,756,No Deposit,2.0
Resort Hotel,756,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,1.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,1.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,372,No Deposit,1.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,528,No Deposit,1.0
Resort Hotel,056,No Deposit,2.0
Resort Hotel,372,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,1.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,372,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,372,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,826,No Deposit,1.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,1.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,643,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,1.0
Resort Hotel,250,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,4.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,826,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,642,No Deposit,2.0
Resort Hotel,643,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,372,No Deposit,4.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,356,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,826,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,372,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,528,No Deposit,2.0
Resort Hotel,156,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,756,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,840,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,250,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,372,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,1.0
Resort Hotel,250,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,250,No Deposit,2.0
Resort Hotel,840,No Deposit,2.0
Resort Hotel,156,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,1.0
Resort Hotel,484,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,4.0
Resort Hotel,826,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,826,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,826,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,1.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,643,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,840,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,372,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,1.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,372,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,643,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,372,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,826,No Deposit,4.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,1.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,250,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,1.0
Resort Hotel,250,No Deposit,2.0
Resort Hotel,250,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,250,No Deposit,2.0
Resort Hotel,156,No Deposit,2.0
Resort Hotel,372,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,643,No Deposit,4.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,826,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,620,No Deposit,1.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,1.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,756,No Deposit,4.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,156,No Deposit,2.0
Resort Hotel,724,No Deposit,3.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,528,No Deposit,2.0
Resort Hotel,528,No Deposit,2.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,840,No Deposit,4.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,724,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,372,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,1.0
Resort Hotel,620,No Deposit,1.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,1.0
Resort Hotel,620,No Deposit,1.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,826,No Deposit,2.0
Resort Hotel,620,No Deposit,1.0
Resort Hotel,620,No Deposit,1.0
Resort Hotel,076,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,826,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,372,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,1.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,156,No Deposit,3.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,826,No Deposit,4.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,372,No Deposit,2.0
Resort Hotel,372,No Deposit,4.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,724,No Deposit,3.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,372,No Deposit,2.0
Resort Hotel,616,No Deposit,2.0
Resort Hotel,724,No Deposit,3.0
Resort Hotel,620,No Deposit,1.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,826,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,840,No Deposit,1.0
Resort Hotel,826,No Deposit,2.0
Resort Hotel,504,No Deposit,4.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,643,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,826,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,372,No Deposit,2.0
Resort Hotel,250,No Deposit,2.0
Resort Hotel,250,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,756,No Deposit,2.0
Resort Hotel,724,No Deposit,3.0
Resort Hotel,372,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,3.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,372,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,372,No Deposit,2.0
Resort Hotel,372,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,250,No Deposit,1.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,372,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,372,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,1.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,826,No Deposit,4.0
Resort Hotel,620,No Deposit,1.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,616,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,1.0
Resort Hotel,620,No Deposit,1.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,826,No Deposit,2.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,642,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,1.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,642,No Deposit,4.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,1.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,4.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,372,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,4.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,372,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,528,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,372,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,372,No Deposit,2.0
Resort Hotel,826,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,724,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,076,No Deposit,3.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,2.0
Resort Hotel,620,No Deposit,3.0
Resort Hotel,724,No Deposit,2.0
